,adj,freq
0,last,2049
1,chaotic,99
2,coming,32
3,speak,152
4,jeffrey,2
5,ukraine,27
6,worse,72
7,deadly,232
8,truce,1
9,bloomberg,32
10,live,1757
11,central,131
12,latest,1157
13,nearby,111
14,square,27
15,strong,210
16,top,534
17,national,726
18,texas,96
19,wealthier,2
20,interesting,152
21,sad,172
22,front,177
23,biggest,111
24,thought,49
25,entire,325
26,sure,1207
27,current,93
28,potential,235
29,modern,60
30,specialist,22
31,posttraumatic,13
32,first,1462
33,shooter,287
34,dead,1705
35,soldier,147
36,military,1501
37,appeared,6
38,personal,140
39,unrelated,17
40,similar,129
41,white,977
42,islamic,211
43,second,845
44,fourth,178
45,asian,13
46,malaysia,1
47,malaysian,7
48,pacific,56
49,economic,62
50,full,293
51,tom,76
52,hagel,12
53,asia,3
54,real,327
55,imagine,61
56,whole,398
57,fort,172
58,know,503
59,slower,9
60,north,420
61,seattle,91
62,much,1679
63,big,712
64,federal,667
65,welcome,374
66,high,647
67,concerned,111
68,greek,8
69,prime,43
70,positive,53
71,friendly,21
72,constructive,16
73,intensify,4
74,great,721
75,merkel,1
76,early,478
77,brought,26
78,closer,49
79,shot,599
80,exciting,2
81,germany,8
82,alexis,66
83,tpm,1
84,buy,5
85,tsipras,1
86,many,1890
87,presidentailial,1
88,rick,42
89,skeet,8
90,enough,150
91,betty,16
92,active,1091
93,tweet,19
94,investigating,3
95,navy,1958
96,streak,3
97,global,59
98,low,99
99,strongest,31
100,update,477
101,least,1080
102,army,83
103,crumpton,1
104,new,2410
105,topyou,1
106,straight,129
107,senate,35
108,give,270
109,breaking,47
110,unchanged,8
111,euro,4
112,suspect,553
113,prepared,82
114,financial,74
115,ripple,11
116,hard,320
117,good,1836
118,gunman,496
119,grow,12
120,faith,7
121,slow,35
122,chair,8
123,hike,1
124,former,587
125,act,184
126,domestic,172
127,next,1061
128,best,362
129,simple,46
130,rocket,1
131,beautiful,90
132,iconic,11
133,crimson,1
134,little,687
135,bit,55
136,different,751
137,notre,5
138,alternative,3
139,pinch,1
140,initial,343
141,cover,33
142,recreational,10
143,injured,616
144,proactive,16
145,yuan,1
146,google,3
147,earlier,197
148,hillary,290
149,secret,70
150,want,406
151,triple,20
152,late,164
153,possible,692
154,fit,56
155,local,1195
156,better,235
157,commitment,15
158,china,5
159,stability,1
160,ceo,12
161,able,816
162,begin,37
163,long,488
164,chicago,30
165,black,833
166,become,45
167,public,544
168,happen,179
169,guilty,139
170,chicagoof,1
171,speculate,3
172,social,437
173,san,1351
174,los,107
175,unconfirmed,40
176,argue,2
177,mark,20
178,mobil,1
179,break,51
180,united,789
181,attiple,1
182,southern,102
183,regional,332
184,hostage,10
185,uptriage,2
186,developmental,36
187,gurney,6
188,loved,89
189,outside,389
190,unplugged,1
191,several,700
192,announce,7
193,additional,233
194,private,49
195,le,160
196,lu,2
197,inland,59
198,analysterg,1
199,lower,87
200,richt,1
201,likely,155
202,tighten,9
203,multiple,672
204,jaw,3
205,senior,141
206,follow,155
207,right,1869
208,large,369
209,bring,111
210,theident,1
211,general,454
212,fatal,261
213,unknown,99
214,scarlet,6
215,due,129
216,eastern,321
217,alix,3
218,aggressive,27
219,nimble,1
220,triage,7
221,colorado,36
222,briefed,22
223,cbs,15
224,specific,176
225,ram,5
226,untold,5
227,website,35
228,listen,82
229,couple,199
230,quick,192
231,chief,342
232,motive,381
233,investigate,53
234,stop,115
235,loma,10
236,medical,520
237,center,34
238,researched,3
239,library,7
240,associated,46
241,police,808
242,reliable,36
243,subject,75
244,various,89
245,massive,180
246,american,661
247,old,332
248,safe,513
249,sergeant,83
250,kcbs,1
251,assistant,43
252,call,115
253,clear,599
254,middle,172
255,political,375
256,q,1
257,west,119
258,responsible,184
259,fluid,53
260,gunshot,96
261,mass,80
262,mental,329
263,unclear,134
264,set,5
265,human,65
266,incident,218
267,worried,48
268,third,351
269,sierra,3
270,guest,21
271,foreign,84
272,ono,1
273,witness,82
274,fight,61
275,greatest,23
276,inspired,31
277,al,35
278,looser,1
279,staggering,3
280,dark,68
281,dressed,25
