,adj,freq
0,fantastic,8
1,british,5
2,likely,60
3,french,8
4,difficult,140
5,france,3
6,capable,13
7,impressive,1
8,saw,70
9,new,844
10,high,184
11,turkish,18
12,tighter,6
13,military,66
14,supreme,3
15,discus,10
16,islamic,12
17,russian,54
18,first,528
19,half,61
20,nato,7
21,build,8
22,international,59
23,tougher,8
24,normal,61
25,belgian,2
26,maximum,5
27,terrorist,46
28,imminent,5
29,turkey,18
30,draw,8
31,last,898
32,due,42
33,economic,28
34,foreign,16
35,egypt,2
36,syrian,8
37,stretch,2
38,ready,89
39,incursion,1
40,memorial,25
41,malta,1
42,former,151
43,trash,1
44,organizer,1
45,smaller,15
46,china,2
47,united,178
48,biggest,34
49,total,54
50,double,13
51,upping,1
52,donohoe,1
53,read,33
54,valuable,3
55,sixth,3
56,straight,25
57,vladimir,2
58,much,637
59,retail,10
60,welcome,135
61,alix,1
62,theemployed,1
63,productive,2
64,stronger,23
65,mindful,1
66,prime,21
67,violent,30
68,third,51
69,many,834
70,user,3
71,standoff,3
72,san,29
73,right,593
74,downsized,1
75,le,36
76,retaliate,1
77,push,8
78,corporate,9
79,fbi,68
80,firmdent,1
81,different,271
82,extraordinary,31
83,nhl,4
84,national,133
85,major,101
86,la,372
87,allow,15
88,latest,442
89,popular,15
90,better,79
91,professional,11
92,next,352
93,paul,3
94,talked,17
95,able,347
96,organic,2
97,keen,3
98,interesting,43
99,sure,347
100,clear,174
101,global,28
102,creative,2
103,young,175
104,natural,7
105,inclusive,2
106,sexy,1
107,larger,17
108,wider,3
109,little,349
110,middle,62
111,wave,2
112,tech,15
113,ten,78
114,complete,72
115,honduras,1
116,internet,5
117,past,64
118,couple,82
119,whole,131
120,faking,1
121,recent,38
122,belize,2
123,real,112
124,hoax,2
125,elaborate,2
126,serious,71
127,painful,19
128,common,63
129,skin,12
130,redness,5
131,red,41
132,free,130
133,brian,40
134,update,169
135,special,142
136,exceptional,3
137,santa,124
138,male,146
139,local,432
140,bertha,5
141,tragic,193
142,elementary,588
143,lower,24
144,september,2
145,note,2
146,ubs,2
147,malonovich,2
148,bert,2
149,sandy,357
150,available,67
151,nbc,56
152,want,141
153,second,205
154,custody,2
155,aware,47
156,tdd,35
157,open,162
158,financial,32
159,fargo,3
160,dead,845
161,provide,4
162,shooter,89
163,active,350
164,good,573
165,ty,1
166,york,4
167,tanl,1
168,january,7
169,live,569
170,newtown,739
171,gunman,175
172,connecticut,159
173,charitable,2
174,poor,14
175,rich,15
176,send,7
177,tragedy,49
178,quick,61
179,top,146
180,mary,57
181,ellen,2
182,search,17
183,mentioned,5
184,relative,16
185,hear,271
186,sadness,7
187,youngest,11
188,sorry,36
189,white,447
190,eastern,122
191,address,24
192,small,201
193,give,103
194,elmin,1
195,big,228
196,enormous,24
197,know,205
198,suspect,291
199,ryan,46
200,old,160
201,guy,35
202,official,27
203,governor,24
204,lockdown,56
205,precautionary,7
206,rare,6
207,horrible,119
208,bottom,21
209,giant,7
210,late,29
211,tough,58
212,future,37
213,earlier,88
214,least,398
215,imagine,32
216,heroic,3
217,franzen,14
218,updated,23
219,worked,8
220,deceased,8
221,meaningful,43
222,hard,111
223,best,145
224,bless,8
225,personal,58
226,wonder,5
227,scottrade,2
228,fatal,40
229,meet,8
230,nearby,44
231,initial,80
232,worst,199
233,possible,172
234,hill,3
235,congresswoman,22
236,washington,13
237,fiscal,5
238,concome,1
239,low,39
240,flattens,1
241,technical,14
242,tactical,33
243,great,222
244,true,62
245,broad,3
246,concept,1
247,gun,171
248,video,45
249,awful,68
250,several,255
251,various,33
252,attack,19
253,related,22
254,sleep,72
255,magical,8
256,innovative,5
257,adjustable,7
258,pillow,4
259,happen,71
260,reagan,1
261,industrial,10
262,average,20
263,slow,6
